Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2022-0592-PNG,2022,0592,,Natural,Geophysical,Earthquake,Ground movement,,,Papua New Guinea,PNG,Melanesia,Oceania,"Morobe, Padang, Es provinces",,,,,,,,8,Richter,-6.256,146.469,,,2022,9,13,2022,9,13,7,24,,1945,1969,,,,,,,,1,2300,,Morobe (Adm1).
2022-0275-RUS,2022,0275,,Natural,Climatological,Wildfire,Forest fire,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Krasnoïarsk, Kemerovo, Omsk, Kurgan, Irkutsk, and Novosibirsk regions (Siberia)",Violent wind,,,,,,,,Km2,,,,,2022,5,6,2022,5,10,16,12,,2190,2202,,,,,,,,1,2506;2515;2524;2526;2541;2542,,"Irkutskaya Oblast, Kemerovskaya Oblast, Krasnodarskiy Kray, Kurganskaya Oblast, Novosibirskaya Oblast, Omskaya Oblast (Adm1)."
2022-0473-RUS,2022,0473,,Natural,Hydrological,Flood,,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Lazarevsky, Khostinsky, Sochi regions",Heavy rains,,,,,Yes,,,Km2,,,,,2022,7,22,2022,7,25,1,,750,,750,,,,,,,,,,,
2022-0770-RWA,2022,0770,,Natural,Hydrological,Flood,,,,Rwanda,RWA,Eastern Africa,Africa,Kigali,,,,,,,,,Km2,,,,,2022,11,17,2022,11,18,3,,,,,,,,,,,,1,21970,,Kigali City/Umujyi wa Kigali (Adm1).
2022-0445-SDN,2022,0445,,Natural,Hydrological,Flood,Flash flood,,,Sudan (the),SDN,Northern Africa,Africa,"Kas District (South Darfur State); Kassala, South Kordofan, White Nile; West Darfur",Heavy rains,,,,,,,,Km2,,,,,2022,7,10,2022,8,15,146,122,349000,,349122,,,,,,,,1;2,2769;2770;4150;68783,37105,"Kassala, Southern Kordofan, Western Darfur, White Nile (Adm1). Kas (Adm2)."
2022-0498-SEN,2022,0498,FL-2022-000290,Natural,Hydrological,Flood,Flash flood,,,Senegal,SEN,Western Africa,Africa,"Dakar City area and the Cap–Vert Peninsula (Dakar Region); Thies, Matam",Heavy rains,,,,,,,,Km2,,,,,2022,8,5,2022,8,7,,172,19838,,20010,,,,,,,,1,2636;2644;47588,,"Dakar, Matam, Thies (Adm1)."
2022-0647-SLV,2022,0647,TC-2022-000343,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Julia',El Salvador,SLV,Central America,Americas,"San Salvador, La Libertad, La Paz, San Vicente, Usulután, San Miguel, La Unión and Sonsonate",,,,,,,,,Kph,,,,,2022,10,9,2022,10,9,10,,9273,,9273,,,,,17000,,,1,1188;1189;1190;1192;1193;1194;1196;1197,,"La Libertad, La Paz, La Union, San Miguel, San Salvador, San Vicente, Sonsonate, Usulutan (Adm1)."
2022-0688-STP,2022,0688,,Natural,Biological,Epidemic,Viral disease,,Dengue,Sao Tome and Principe,STP,Middle Africa,Africa,"Lemba, Lobata, Agua Grande, Mezochi, Cantagalo, CaueRAP",,,,,,,,,Vaccinated,,,,,2022,3,,2022,10,20,,980,,,980,,,,,,,,,,,
2022-0315-SUR,2022,0315,,Natural,Hydrological,Flood,,,,Suriname,SUR,South America,Americas,"Brokopondo, Sipaliwini, Marowijne, Para, Saramacca, Coronie, and Nickerie districts",Heavy rains,,,,,Yes,,,Km2,,,,,2022,3,,2022,6,24,,,9000,,9000,,,,,,,,1,2771;2773;2774;2775;2776;2778;2779,,"Brokopondo, Coronie, Marowijne, Nickerie, Para, Saramacca, Sipaliwini (Adm1)."
2022-0784-SWZ,2022,0784,,Natural,Meteorological,Storm,Convective storm,Hail,,Eswatini,SWZ,Southern Africa,Africa,Nsingizini and Nsubane communities (Hosea and Somntongo; Shiselweni region),,,,,,,,,Kph,,,,,2022,11,5,2022,11,5,,,1058,,1058,,,,,,,,2,,25983,Hosea (Adm2).
2022-0594-SYR,2022,0594,EP-2022-000310,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Syrian Arab Republic,SYR,Western Asia,Asia,"Aleppo, Deir-ez-Zor, Ar-Raqqa, Al Hasakeh, Hama, and Lattakia",,,,,,,,,Vaccinated,,,,,2022,9,11,2022,9,20,23,253,936,,1189,,,,,,,,,,,
2022-0509-TCD,2022,0509,FL-2022-000287,Natural,Hydrological,Flood,,,,Chad,TCD,Middle Africa,Africa,"Batha, Chari-Baguirmi, Mayo-Kebbi Ouest, Tandjilé, Salamat, Logone Oriental, Moyen-Chari, Sila, Ennedi-Est, Ouaddaï, Mandoul, S, Mayo Kebbi Est and all districts of the city of N’djamena",Heavy rains,,,,,Yes,,,Km2,,,,Chari and Logone rivers,2022,8,5,2022,10,,22,229,1100000,,1100229,,,,,,,,1,881;12904;12905;12908;12918;12925;12927;12928;12930;12931,,"Batha Est, Batha Ouest, Ennedi, Logone Oriental, Mandoul, Ouaddai, Salamat, Sila, Tandjile Est, Tandjile Ouest (Adm1)."
2022-0742-TGO,2022,0742,FL-2022-000351,Natural,Hydrological,Flood,,,,Togo,TGO,Western Africa,Africa,"Maritime region (southern Togo); Oti, Oti-Sud, and Kpendjal (Savannah Region (northern Togo)",,,,,,,,,Km2,,,,,2022,10,,2022,11,15,,,18596,,18596,,,,,,,,1;2,2972,65281;65284,"Maritime (Adm1). Kpendjal, Oti (Adm2)."
2022-0613-THA,2022,0613,TC-2022-000318,Natural,Meteorological,Storm,Convective storm,Storm/Surge,Tropical cyclone 'Noru' (Karding),Thailand,THA,South-Eastern Asia,Asia,Sisaket Province,,,,,,,,,Kph,,,,,2022,9,28,2022,9,29,1,2,,,2,,,,,,,,1,2911,,Si Saket (Adm1).
2022-0199-THA,2022,0199,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Chumphon, Nakhon Si Thammarat, Narathiwat, Phatthalung, Surat Thani",Incessant rains,,,,,,,,Km2,,,,,2022,4,3,2022,4,5,,,108500,,108500,,,,,,,,1,2862;2875;2880;2882;2890;2916,,"Chumphon, Nakhon Nayok, Nakhon Si Thammarat, Narathiwat, Phatthalung, Surat Thani (Adm1)."
2022-0305-THA,2022,0305,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Phrae, Lampang, Nan, Uttaradit, Phayao and Nakhon Ratchasima provinces",Monsoonal rain,,,,,,,,Km2,,,,,2022,5,14,2022,5,18,,,1380,,1380,,,,,,,,1,2868;2878;2881;2891;2897;2924,,"Lampang, Nakhon Ratchasima, Nan, Phayao, Phrae, Uttaradit (Adm1)."
2022-0326-THA,2022,0326,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Chiang Rai, Chiang Mai, Phayao, Lamphun, Tak, Lampang, Mae Hong Son, and Kanchanaburi",Heavy rain,,,,,,,,Km2,,,,Chao Phraya River basin,2022,5,20,2022,5,24,,,3900,,3900,,,,,,,,1,2859;2860;2865;2868;2869;2872;2891;2918,,"Chiang Mai, Chiang Rai, Kanchanaburi, Lampang, Lamphun, Mae Hong Son, Phayao, Tak (Adm1)."
2022-0474-THA,2022,0474,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Phimai District (Nakhon Ratchasima Province); Khok Yai, Tha Li District (Loei Province); Bangkok; Khon Kaen, Rayong, Chon Buri, Samut Prakan, Nonthaburi provinces",Intense monsoon trough and negative Indian Ocean dipole,,,,,,,,Km2,,,,,2022,7,17,2022,7,26,2,,2300,,2300,,,,,,,,1;2,2853;2861;2866;2885;2906,26641;26719,"Bangkok, Chonburi, Khon Kaen, Nonthaburi, Samut Prakarn (Adm1). Phimai, Tha Li (Adm2)."
2022-0515-THA,2022,0515,FL-2022-000292,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Chiang Rai, Mukdahan, Yasothon, Ubon Ratchathani, Khon Kaen, Chaiyaphum, Mahasarakham, Prachinburi, Phra Nakhon Si Ayutthaya","Heavy rains, Tropical Depression Mulan",,,,,,,,Km2,,,,Chao Phraya,2022,8,14,2022,8,16,,,63100,,63100,,,,,,,,1,2857;2860;2866;2873;2874;2896;2926,,"Chaiyaphum, Chiang Rai, Khon Kaen, Maha Sarakham, Mukdahan, Phra Nakhon Si Ayudhya, Yasothon (Adm1)."
2022-0635-THA,2022,0635,FL-2022000333,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Ang Thong, Ayutthaya (Phra Nakhon Si Ayutthaya), Buriram, Chai Nat, Chaiyaphum, Kalasin, Khon Kaen,Lopburi, Maha Sarakham, Nakhon Nayok, Nakhon Pathom, Nakhon Ratchasima, Nakhon Sawan, Pathum Thani, Phetchabun, Phichit, Prachinburi, Roi Et, Sakon Nakhon, Singburi, Surin, Tak, Ubon Ratchathani, Uthai Thani, Yasothon","Heavy rains, Remnants of Tropical Storm Noru",,,,,,,,Km2,,,,Chao Phraya River and the Pa Sak River,2022,9,,2022,10,6,4,3,485906,,485909,,,,,,,,1;2,2852;2856;2857;2859;2863;2866;2871;2873;2875;2877;2878;2879;2885;2886;2892;2894;2896;2903;2905;2912;2917;2918;2921;2923;2926,26827,"Ang Thong, Chainat, Chaiyaphum, Chiang Mai, Kalasin, Khon Kaen, Lopburi, Maha Sarakham, Nakhon Nayok, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nonthaburi, Pathum Thani, Phetchabun, Phichit, Phra Nakhon Si Ayudhya, Roi Et, Sakon Nakhon, Singburi, Surin, Tak, Ubon Ratchathani, Uthai Thani, Yasothon (Adm1). Muang Prachin Buri (Adm2)."
2022-0732-THA,2022,0732,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Satun, Songkhla, Yala, Trang, Nakhon Si Thammarat, Narathiwat, Pattani,",Heavy rains,,,,,,,,Km2,,,,,2022,11,8,2022,11,10,,,25605,,25605,,,,,,,,1,2880;2882;2887;2910;2913;2920;2925,,"Nakhon Si Thammarat, Narathiwat, Pattani, Satun, Songkhla, Trang, Yala (Adm1)."
2022-0194-TUN,2022,0194,FL-2022-000190,Natural,Hydrological,Flood,Flash flood,,,Tunisia,TUN,Northern Africa,Africa,"Siliana, Kairouan, Gafsa, Sidi Bouzid,Jendouba, Beja, el Kef, Kaserine and Zaghouan",,,,,,,,,Km2,,,,,2022,3,19,2022,3,19,1,,4000,,4000,,,,,,,,1;2,2996;2998;2999;3000;3001;3003;3010;3011;3016,39237;39239,"Beja, Gafsa, Jendouba, Kairouan, Kasserine, Le Kef, Sidi Bouz, Siliana, Zaghouan (Adm1). El Mnihla, Kalaat El Andalous (Adm2)."
2022-0765-TUR,2022,0765,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Düzce, Sakarya, Bolu, Zonguldak, Bursa, Istanbul",,,,,,,,6,Richter,40.847,30.967,04:08,,2022,11,23,2022,11,23,2,93,213,,306,,,,,,,,1;2,3037;3056;3081;3096,27640,"Bursa, Istanbul, Sakarya, Zonguldak (Adm1). Duzce (Adm2)."
2022-0365-TUR,2022,0365,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Ankara; Denizli, Burdur, Sivas, Karaman, Yozgat provinces",Heavy rains,,,,,,,,Km2,,,,,2022,6,3,2022,6,11,,,,,,,,,,,,,1,3023;3036;3041;3060;3087;3095,,"Ankara, Burdur, Denizli, Karaman, Sivas, Yozgat (Adm1)."
2022-0378-TUR,2022,0378,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,"Kastamonu,Düzce, Bartin, Zonguldak, Sinop Provinces",Heavy rains,,,,,,,,Km2,,,,,2022,6,24,2022,6,29,2,,235,,235,,,,,243000,,,1;2,3029;3062;3085;3096,27640,"Bartin, Kastamonu, Sinop, Zonguldak (Adm1). Duzce (Adm2)."
2022-0611-TWN,2022,0611,,Natural,Geophysical,Earthquake,Ground movement,,,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Hualien, Kaohsiung City and Taitung City",,,,,,,,7,Richter,23.119,121.422,14:44,,2022,9,18,2022,9,18,1,140,,,140,,,,,3700,,,,,,
2022-0319-TZA,2022,0319,EP-2022-000211,Natural,Biological,Epidemic,Bacterial disease,,Cholera,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Kigoma and Katavi,,,,,,,,,Vaccinated,,,,,2022,4,23,2022,5,,,129,,,129,,,,,,,,,,,
2022-0258-TZA,2022,0258,,Natural,Hydrological,Flood,,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Mbeya and Songwe Regions,Heavy rains,,,,,,,,Km2,,,,,2022,4,,2022,5,5,10,,,1500,1500,,,,,,,,1,48367,,Mbeya (Adm1).
2022-0582-UGA,2022,0582,,Natural,Hydrological,Landslide,Landslide,,,Uganda,UGA,Eastern Africa,Africa,Kalingatha Village to Kasika Village (Kasese District),Heavy rains,,,,,,,,,,,,,2022,9,6,2022,9,7,19,6,1190,,1196,,,,,,,,1,3121,,Kasese (Adm1).
2022-0652-UGA,2022,0652,EP-2022-000315,Natural,Biological,Epidemic,Viral disease,,Ebola,Uganda,UGA,Eastern Africa,Africa,"Mubende, Kyegegwa, Kassanda, Kagadi, Bunyangabu, Wakiso, Kampala, Jinja",,,,,,Yes,,,Vaccinated,,,,,2022,9,20,2022,11,14,55,141,,,141,,,,,,,,1;2,1361;3114;42182;42200,28422;28506,"Jinja, Kampala, Kyegegwa, Wakiso (Adm1). Bunyangabu, Kassanda (Adm2)."
2022-0481-UGA,2022,0481,FL-2022-000275,Natural,Hydrological,Flood,,,,Uganda,UGA,Eastern Africa,Africa,"Mbale, Kapchorwa, Sironko, Bulambuli, Bukedea, Bududa and Butaleja districts",Heavy rains,,,,,,,,Km2,,,,Nabuyonga and Namatala Rivers,2022,7,30,2022,8,5,24,10,20949,,20959,,,,,,,,1,752;785;788;1080;47071;47085,,"Bududa, Bukedea, Bulambuli, Butaleja, Mbale, Sironko (Adm1)."
2022-0325-USA,2022,0325,,Natural,Meteorological,Storm,Convective storm,Derecho,,United States of America (the),USA,Northern America,Americas,"Minnesota, Kentucly, Michigan, Missouri and Illinois",,,,,,,,,Kph,,,,,2022,5,19,2022,5,26,2,12,,,12,,,,,1300000,,,1,3227;3231;3236;3237;3239,,"Illinois, Kentucky, Michigan, Minnesota, Missouri (Adm1)."
2022-0193-USA,2022,0193,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Dallas Fort, Johnson, Collin, Smith counties (Texas); Marengo County (Alabama); Lee, Houston, Berkeley Counties (Georgia); Allendale county (South Carolina); Covington, Jefferson Davis, Lauderdale, Newton, Wayne Counties (Mississippi)",,,,,,,,,Kph,,,,,2022,4,4,2022,4,7,3,,,,,,,2500000,,3200000,,,2,,28736;29076;29140;29152;30094;30111;30116;30129;30155;30995;31242;31256;31325;31411,"Allendale, Bleckley, Collin, Covington, Dallas, Houston, Jefferson Davis, Johnson, Lauderdale, Lee, Marengo, Newton, Smith, Wayne (Adm2)."
2022-0734-USA,2022,0734,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Nicole',United States of America (the),USA,Northern America,Americas,"Bahamas, Florida",,,,,,Yes,,120,Kph,,,,,2022,11,14,2022,11,14,2,,1500,,1500,,,,,,,,,,,
2022-9209-USA,2022,9209,,Natural,Climatological,Drought,Drought,,,United States of America (the),USA,Northern America,Americas,Nation wide,,,,,,,,,Km2,,,,,2022,1,,2022,12,,,,,,,,,,,3000000,,,,,,
2022-0215-USA,2022,0215,,Natural,Climatological,Wildfire,,,"McBride, Nogal Canyon, Hermits Peak Fires",United States of America (the),USA,Northern America,Americas,"Lincoln, San Miguel Counties (New Mexico)","Ongoing severe drought, strong winds and low relative humidity",,,,,,,,Km2,,,,,2022,4,12,2022,5,,2,49,600,,649,,,,,10000,,,2,,28787;30486;30496,"Lincoln, San Miguel, Santa Cruz (Adm2)."
2022-0246-USA,2022,0246,,Natural,Climatological,Wildfire,,,Calf Canyon and Hermits Peak Fires,United States of America (the),USA,Northern America,Americas,"Mora, Colfax, Lincoln, San Miguel, Valencia Counties (New Mexico); Colorado, Nebraska","Hot and dry conditions, severe drought, and very high winds",,,,,Yes,,,Km2,,,,,2022,4,6,2022,6,14,,138,756,,894,,,,,,,,1;2,3219;3241,30476;30486;30490;30496;30504,"Colorado, Nebraska (Adm1). Colfax, Lincoln, Mora, San Miguel, Valencia (Adm2)."
2022-0266-USA,2022,0266,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,North Dakota and northern Minnesota (central-northern USA),Heavy rains,,,,,Yes,,,Km2,,,,,2022,4,,2022,5,5,,,,,,,,,,,,,1,3237;3248,,"Minnesota, North Dakota (Adm1)."
2022-0454-USA,2022,0454,,Natural,Climatological,Wildfire,,,Oak and Chalk Mountain fires,United States of America (the),USA,Northern America,Americas,"Mariposa county (central California); Somervell, and Hood counties (central Texas, west of Dallas area)",,,,,,Yes,,,Km2,,,,,2022,7,20,2022,7,24,,,,78,78,,,,,,,,2,,28886;31310;31412,"Hood, Mariposa, Somervell (Adm2)."
2022-0480-USA,2022,0480,,Natural,Hydrological,Flood,,,,United States of America (the),USA,Northern America,Americas,"Kentucky, Missouri",Heavy rains,,,,,Yes,,,Km2,,,,,2022,7,26,2022,7,31,42,,475,,475,,,,,1200000,,,1,3231;3239,,"Kentucky, Missouri (Adm1)."
2022-0250-VEN,2022,0250,,Natural,Hydrological,Flood,,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Táchira, Mérida, Trujillo, Zulia, Lara, Falcón, Aragua, Carabobo, Portuguesa, Apure, Vargas and Caracas Capital District",Heavy rain,,,,,Yes,,,Km2,,,,,2022,4,25,2022,6,29,1,,86800,,86800,,,,,,,,1,3304;3305;3308;3313;3315;3316;3320;3322;3323;3325,,"Apure, Aragua, Carabobo, Falcon, Lara, Merida, Portuguesa, Tachira, Trujillo, Zulia (Adm1)."
2022-0518-VEN,2022,0518,,Natural,Hydrological,Flood,,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Barinas, Táchira, and Miranda states",Heavy rains,,,,,,,,Km2,,,,,2022,8,10,2022,8,11,,,2000,,2000,,,,,,,,1,3306;3317;3322,,"Barinas, Miranda, Tachira (Adm1)."
2022-0615-VEN,2022,0615,,Natural,Hydrological,Flood,,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Táchira, Lara, Carabobo, Miranda, and Mérida",Heavy rains,,,,,,,,Km2,,,,,2022,9,22,2022,9,30,20,,,,,,,,,,,,1,3308;3315;3316;3317;3322,,"Carabobo, Lara, Merida, Miranda, Tachira (Adm1)."
2022-0712-VEN,2022,0712,,Natural,Hydrological,Flood,,,,Venezuela (Bolivarian Republic of),VEN,South America,Americas,Macuto and Caraballeda Parishes (La Guaira State),Heavy rains,,,,,,,,Km2,,,,,2022,10,27,2022,11,2,3,,2000,,2000,,,,,,,,1,3315;67152,,"Lara, Vargas (Adm1)."
2022-0515-VNM,2022,0515,FL-2022-000292,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,Dak Lak,"Heavy rains, Tropical Depression Mulan",,,,,,,,Km2,,,,,2022,8,14,2022,8,16,10,,,,,,,,,,,,1,73934,,Dak Lak (Adm1).
2022-0501-YEM,2022,0501,,Natural,Hydrological,Flood,Flash flood,,,Yemen,YEM,Western Asia,Asia,"Hajjah, Al Jawf, Saada, and Ma’rib Governorates",Heavy rains,,,,,,,,Km2,,,,,2022,8,3,2022,8,8,13,,3400,,3400,,,,,,,,1,3412;3418;3421;3422,,"Al Jawf, Hajjah, Marib, Sa'ada (Adm1)."
2022-0444-YEM,2022,0444,FL-2022-000265,Natural,Hydrological,Flood,,,,Yemen,YEM,Western Asia,Asia,"Ad Dali’, Al Hodeidah, Hadramawt, Hajjah and Ta’iz governorate",Heavy rains,,,,,,,,Km2,,,,,2022,6,,2022,6,,,,41000,,41000,,,,,,,,1,3411;3418;3425;144970,,"Al Hudaydah, Hadramaut, Hajjah, Taizz (Adm1)."
2022-0456-YEM,2022,0456,FL-2022-000265,Natural,Hydrological,Flood,,,,Yemen,YEM,Western Asia,Asia,"Marib, Al Mahwit, Taiz, Ibb, Hadramawt, Al Bayda, Amran, Sadaa, Dhamar Al Hodeida, Sana'a Hajjah, Al Mahra governorates (Sanna)",Heavy rains,,,,,,,,Km2,,,,,2022,7,23,2022,8,5,77,,175000,,175000,,,,,,,,1,3410;3414;3415;3416;3419;3421;3425;144969;144970,,"Al Bayda, Al Mahwit, Amanat Al Asimah, Amran, Dhamar, Hadramaut, Ibb, Marib, Taizz (Adm1)."
2022-0788-ZAF,2022,0788,,Natural,Hydrological,Flood,Flash flood,,,South Africa,ZAF,Southern Africa,Africa,Johannesburg City (Gauteng Province),Heavy rains,,,,,,,,Km2,,,,Jukskei river,2022,12,3,2022,12,3,17,,,,,,,,,,,,,,,
2022-0313-ZAF,2022,0313,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,Durban (KwaZulu-Natal province),Heavy rains,,,,,,,,Km2,,,,,2022,5,22,2022,5,22,,,200,,200,,,,,,,,1,77311,,KwaZulu-Natal (Adm1).
2022-0356-ZAF,2022,0356,,Natural,Hydrological,Flood,,,,South Africa,ZAF,Southern Africa,Africa,"Kleinvlei, Ravensmead, Goodwood, Strand, Bonteheuwel, Belhar, Maitland and Bellville South.(Cape Town)",Heavy rains,,,,,,,,Km2,,,,,2022,6,13,2022,6,15,,4,200,,204,,,,,,,,,,,
2022-0209-COD,2022,0209,,Natural,Meteorological,Storm,Convective storm,,,Congo (the Democratic Republic of the),COD,Middle Africa,Africa,,,,,,,,,,Kph,,,,,2022,1,21,2022,2,2,26,,,,,,,,,,,,,,,
2022-0255-COD,2022,0255,EP-2022-000202,Natural,Biological,Epidemic,Viral disease,,Plague,Congo (the Democratic Republic of the),COD,Middle Africa,Africa,"Rethy, Angumu (Ituri)",,,,,,,,,Vaccinated,,,,,2022,4,4,2022,5,2,8,607,,,607,,,,,,,,2,,14992,Ituri (Adm2).
2022-0263-COD,2022,0263,EP-2022-000205,Natural,Biological,Epidemic,Viral disease,,Ebola Virus Disease,Congo (the Democratic Republic of the),COD,Middle Africa,Africa,"Wangata, Mbandaka (Equateur Province)",,,,,,,,2104,Vaccinated,,,,,2022,4,19,2022,9,27,5,141,,,141,,,,,,,,,,,
2022-0569-ZWE,2022,0569,EP-2022-000304,Natural,Biological,Epidemic,Viral disease,,Measles,Zimbabwe,ZWE,Eastern Africa,Africa,"Masvingo, Manicaland, Mash-East, Mash-Central, Mash-West, Midlands, Mat North, Mat. South, Harare, Bulawayo",,,,,,,,,Vaccinated,,,,,2022,4,,2022,11,,750,6551,,,6551,,,,,,,,,,,
2022-0201-TLS,2022,0201,EP-2022-000162,Natural,Biological,Epidemic,Viral disease,,Dengue,Timor-Leste,TLS,South-Eastern Asia,Asia,"Aileu, Ainaro, Baucau, Bobonaro, Covalima, Dili, Ermera, Liquica, Manatuto, Manufahi, Oecusse, Viqueque municipalities",,,,,,,,,Vaccinated,,,,,2022,1,,2022,1,31,20,,1353,,1353,,,,,,,,,,,
2022-0650-SSD,2022,0650,,Natural,Hydrological,Flood,,,,South Sudan,SSD,Northern Africa,Africa,"Western Equatoria, Northern Bahr el Ghazal, Warrap, Unity, Jonglei and Upper Nile",Heavy rains,,,,,,,,Km2,,,,Mori River,2022,8,,2022,10,29,,,1000000,,1000000,,,,,,,,1,2747;2751;2754;2765;2768;37021,,"Jonglei, Northern Bahr El Ghazal, Unity, Upper Nile, Warab, Western Equatoria (Adm1)."
